System Time,Elapsed Time,Gravity X,Gravity Y, PathX, PathY, Path, Weight
08.23.58.716886,0,0,0,0,0,0,0
08.23.58.765911,859,0,0,0,0,0,0
08.23.58.815985,906,0,0,0,0,0,0
08.23.58.865295,956,0,0,0,0,0,0
08.23.58.915425,5,0,0,0,0,0,0
08.23.58.964775,55,0,0,0,0,0,0
08.23.59.014543,105,0,0,0,0,0,0
08.23.59.064269,154,0,0,0,0,0,0
08.23.59.113807,204,0,0,0,0,0,0
08.23.59.147772,254,0,0,0,0,0,0
08.23.59.196784,288,0,0,0,0,0,0
08.23.59.246445,337,0,0,0,0,0,0
08.23.59.296345,386,0,0,0,0,0,0
08.23.59.346043,436,0,0,0,0,0,0
08.23.59.395573,486,0,0,0,0,0,0
08.23.59.445567,535,0,0,0,0,0,0
08.23.59.494887,585,0,0,0,0,0,0
08.23.59.544971,635,0,0,0,0,0,0
08.23.59.594392,685,0,0,0,0,0,0
08.23.59.644001,734,0,0,0,0,0,0
08.23.59.693706,784,0,0,0,0,0,0
08.23.59.743661,834,0,0,0,0,0,0
08.23.59.793096,884,0,0,0,0,0,0
08.23.59.842759,933,0,0,0,0,0,0
08.23.59.892914,983,0,0,0,0,0,0
08.23.59.942885,33,0,0,0,0,0,0
08.23.59.991946,83,0,0,0,0,0,0
08.24.00.025583,132,0,0,0,0,0,0
08.24.00.074678,166,0,0,0,0,0,0
08.24.00.124751,215,0,0,0,0,0,0
08.24.00.174452,265,0,0,0,0,0,0
08.24.00.224172,314,0,0,0,0,0,0
08.24.00.273713,364,0,0,0,0,0,0
08.24.00.323400,414,0,0,0,0,0,0
08.24.00.373001,464,0,0,0,0,0,0
08.24.00.422689,513,0,0,0,0,0,0
08.24.00.472318,563,0,0,0,0,0,0
08.24.00.530747,613,0,0,0,0,0,0
08.24.00.559272,671,0,0,0,0,0,0
08.24.00.609135,700,0,0,0,0,0,0
08.24.00.660409,749,0,0,0,0,0,0
08.24.00.714511,800,0,0,0,0,0,0
08.24.00.743792,854,0,0,0,0,0,0
08.24.00.793454,884,0,0,0,0,0,0
08.24.00.848492,933,0,0,0,0,0,0
08.24.00.882492,988,0,0,0,0,0,0
08.24.00.913029,22,0,0,0,0,0,0
08.24.00.946093,53,0,0,0,0,0,0
08.24.00.994665,86,0,0,0,0,0,0
08.24.01.044700,135,0,0,0,0,0,0
08.24.01.078184,185,0,0,0,0,0,0
08.24.01.127835,218,0,0,0,0,0,0
08.24.01.177192,268,0,0,0,0,0,0
08.24.01.227310,318,0,0,0,0,0,0
08.24.01.277248,367,0,0,0,0,0,0
08.24.01.326215,418,0,0,0,0,0,0
08.24.01.376002,467,0,0,0,0,0,0
08.24.01.426593,516,0,0,0,0,0,0
08.24.01.476184,566,0,0,0,0,0,0
08.24.01.525758,616,0,0,0,0,0,0
08.24.01.579771,666,0,0,0,0,0,0
08.24.01.614764,720,0,0,0,0,0,0
08.24.01.642906,755,0,0,0,0,0,0
08.24.01.676105,783,0,0,0,0,0,0
08.24.01.725208,816,0,0,0,0,0,0
08.24.01.775190,865,0,0,0,0,0,0
08.24.01.824725,915,0,0,0,0,0,0
08.24.01.874223,965,0,0,0,0,0,0
08.24.01.908018,15,0,0,0,0,0,0
08.24.01.941545,48,0,0,0,0,0,0
08.24.01.988584,81,0,0,0,0,0,0
08.24.02.037603,128,0,0,0,0,0,0
08.24.02.087154,177,0,0,0,0,0,0
08.24.02.136912,227,0,0,0,0,0,0
08.24.02.170686,277,0,0,0,0,0,0
08.24.02.219900,311,0,0,0,0,0,0
08.24.02.273744,360,0,0,0,0,0,0
08.24.02.323712,414,0,0,0,0,0,0
08.24.02.373209,464,0,0,0,0,0,0
08.24.02.422421,513,0,0,0,0,0,0
08.24.02.472529,562,0,0,0,0,0,0
08.24.02.522587,612,0,0,0,0,0,0
08.24.02.576684,662,0,0,0,0,0,0
