System Time,Elapsed Time,Gravity X,Gravity Y, PathX, PathY, Path, Weight
08.32.28.667568,0,0,0,0,0,0,0
08.32.28.716077,0.05,0,0,0,0,0,0
08.32.28.779602,0.1,0,0,0,0,0,0
08.32.28.845640,0.15,0,0,0,0,0,0
08.32.28.895659,0.2,0,0,0,0,0,0
08.32.28.961775,0.25,0,0,0,0,0,0
08.32.29.031194,0.3,0,0,0,0,0,0
08.32.29.094237,0.35,0,0,0,0,0,0
08.32.29.161063,0.4,0,0,0,0,0,0
08.32.29.226689,0.45,0,0,0,0,0,0
08.32.29.293133,0.5,0,0,0,0,0,0
08.32.29.343218,0.55,0,0,0,0,0,0
08.32.29.409863,0.6,0,0,0,0,0,0
08.32.29.475910,0.65,0,0,0,0,0,0
08.32.29.542468,0.7,0,0,0,0,0,0
08.32.29.608505,0.75,0,0,0,0,0,0
08.32.29.675053,0.8,0,0,0,0,0,0
08.32.29.725088,0.85,0,0,0,0,0,0
08.32.29.790674,0.9,0,0,0,0,0,0
08.32.29.856721,0.95,0,0,0,0,0,0
08.32.29.923225,1,0,0,0,0,0,0
08.32.29.989764,1.05,0,0,0,0,0,0
08.32.30.055445,1.1,0,0,0,0,0,0
08.32.30.129325,1.15,0,0,0,0,0,0
08.32.30.180466,1.2,0,0,0,0,0,0
08.32.30.242433,1.25,0,0,0,0,0,0
08.32.30.291813,1.3,0,0,0,0,0,0
08.32.30.357785,1.35,0,0,0,0,0,0
08.32.30.424224,1.4,0,0,0,0,0,0
08.32.30.491359,1.45,0,0,0,0,0,0
08.32.30.556139,1.5,0,0,0,0,0,0
08.32.30.622200,1.55,0,0,0,0,0,0
08.32.30.688514,1.6,0,0,0,0,0,0
08.32.30.754808,1.65,0,0,0,0,0,0
08.32.30.822044,1.7,0,0,0,0,0,0
08.32.30.887423,1.75,0,0,0,0,0,0
08.32.30.938133,1.8,0,0,0,0,0,0
08.32.31.003579,1.85,0,0,0,0,0,0
08.32.31.069793,1.9,0,0,0,0,0,0
08.32.31.136564,1.95,0,0,0,0,0,0
08.32.31.202408,2,0,0,0,0,0,0
08.32.31.268694,2.05,0,0,0,0,0,0
08.32.31.335167,2.1,0,0,0,0,0,0
08.32.31.401529,2.15,0,0,0,0,0,0
08.32.31.467213,2.2,0,0,0,0,0,0
08.32.31.534038,2.25,0,0,0,0,0,0
08.32.31.584124,2.3,0,0,0,0,0,0
08.32.31.649641,2.35,0,0,0,0,0,0
08.32.31.699747,2.4,0,0,0,0,0,0
08.32.31.765823,2.45,0,0,0,0,0,0
08.32.31.816039,2.5,0,0,0,0,0,0
08.32.31.886819,2.55,0,0,0,0,0,0
08.32.31.939713,2.6,0,0,0,0,0,0
08.32.31.984708,2.65,0,0,0,0,0,0
08.32.32.051263,2.7,0,0,0,0,0,0
08.32.32.116948,2.75,0,0,0,0,0,0
08.32.32.183479,2.8,0,0,0,0,0,0
08.32.32.249650,2.85,0,0,0,0,0,0
08.32.32.299907,2.9,0,0,0,0,0,0
08.32.32.365701,2.95,0,0,0,0,0,0
08.32.32.431561,3,0,0,0,0,0,0
08.32.32.498251,3.05,0,0,0,0,0,0
08.32.32.564463,3.1,0,0,0,0,0,0
08.32.32.630492,3.15,0,0,0,0,0,0
08.32.32.696677,3.2,0,0,0,0,0,0
08.32.32.762894,3.25,0,0,0,0,0,0
08.32.32.829744,3.3,0,0,0,0,0,0
08.32.32.895744,3.35,0,0,0,0,0,0
08.32.32.959321,3.4,0,0,0,0,0,0
08.32.33.025149,3.45,0,0,0,0,0,0
08.32.33.091751,3.5,0,0,0,0,0,0
08.32.33.157472,3.55,0,0,0,0,0,0
08.32.33.207092,3.6,0,0,0,0,0,0
08.32.33.273200,3.65,0,0,0,0,0,0
