System Time,Elapsed Time,Gravity X,Gravity Y, PathX, PathY, Path, Weight
08.44.33.977742,0,0,0,0,0,0,0
08.44.34.012786,0.02,0,0,0,0,0,0
08.44.34.049703,0.04,0,0,0,0,0,0
08.44.34.084255,0.06,0,0,0,0,0,0
08.44.34.112419,0.08,0,0,0,0,0,0
08.44.34.146636,0.1,0,0,0,0,0,0
08.44.34.179207,0.12,0,0,0,0,0,0
08.44.34.211907,0.14,0,0,0,0,0,0
08.44.34.250060,0.16,0,0,0,0,0,0
08.44.34.278583,0.18,0,0,0,0,0,0
08.44.34.311432,0.2,0,0,0,0,0,0
08.44.34.344609,0.22,0,0,0,0,0,0
08.44.34.378374,0.24,0,0,0,0,0,0
08.44.34.410818,0.26,0,0,0,0,0,0
08.44.34.444305,0.28,0,0,0,0,0,0
08.44.34.477369,0.3,0,0,0,0,0,0
08.44.34.510475,0.32,0,0,0,0,0,0
08.44.34.543673,0.34,0,0,0,0,0,0
08.44.34.576709,0.36,0,0,0,0,0,0
08.44.34.609647,0.38,0,0,0,0,0,0
08.44.34.643025,0.4,0,0,0,0,0,0
08.44.34.676128,0.42,0,0,0,0,0,0
08.44.34.709210,0.44,0,0,0,0,0,0
08.44.34.742657,0.46,0,0,0,0,0,0
08.44.34.775425,0.48,0,0,0,0,0,0
08.44.34.808603,0.5,0,0,0,0,0,0
08.44.34.841765,0.52,0,0,0,0,0,0
08.44.34.875170,0.54,0,0,0,0,0,0
08.44.34.908226,0.56,0,0,0,0,0,0
08.44.34.941028,0.58,0,0,0,0,0,0
08.44.34.974082,0.6,0,0,0,0,0,0
08.44.35.007418,0.62,0,0,0,0,0,0
08.44.35.040608,0.64,0,0,0,0,0,0
08.44.35.074380,0.66,0,0,0,0,0,0
08.44.35.106948,0.68,0,0,0,0,0,0
08.44.35.140041,0.7,0,0,0,0,0,0
08.44.35.172932,0.72,0,0,0,0,0,0
08.44.35.206312,0.74,0,0,0,0,0,0
08.44.35.239420,0.76,0,0,0,0,0,0
08.44.35.272499,0.78,0,0,0,0,0,0
08.44.35.305766,0.8,0,0,0,0,0,0
08.44.35.338842,0.82,0,0,0,0,0,0
08.44.35.371924,0.84,0,0,0,0,0,0
08.44.35.405036,0.86,0,0,0,0,0,0
08.44.35.438123,0.88,0,0,0,0,0,0
08.44.35.471485,0.9,0,0,0,0,0,0
08.44.35.504767,0.92,0,0,0,0,0,0
08.44.35.537838,0.940000000000001,0,0,0,0,0,0
08.44.35.570786,0.960000000000001,0,0,0,0,0,0
08.44.35.603753,0.980000000000001,0,0,0,0,0,0
08.44.35.636834,1,0,0,0,0,0,0
08.44.35.670382,1.02,0,0,0,0,0,0
08.44.35.715969,1.04,0,0,0,0,0,0
08.44.35.725469,1.06,0,0,0,0,0,0
08.44.35.758895,1.08,0,0,0,0,0,0
08.44.35.791934,1.1,0,0,0,0,0,0
08.44.35.825156,1.12,0,0,0,0,0,0
08.44.35.858174,1.14,0,0,0,0,0,0
08.44.35.891357,1.16,0,0,0,0,0,0
08.44.35.924680,1.18,0,0,0,0,0,0
08.44.35.958094,1.2,0,0,0,0,0,0
08.44.35.991002,1.22,0,0,0,0,0,0
08.44.36.023685,1.24,0,0,0,0,0,0
08.44.36.057196,1.26,0,0,0,0,0,0
08.44.36.091241,1.28,0,0,0,0,0,0
08.44.36.120204,1.3,0,0,0,0,0,0
08.44.36.156459,1.32,0,0,0,0,0,0
08.44.36.189623,1.34,0,0,0,0,0,0
08.44.36.223334,1.36,0,0,0,0,0,0
08.44.36.255799,1.38,0,0,0,0,0,0
08.44.36.288831,1.4,0,0,0,0,0,0
08.44.36.322400,1.42,0,0,0,0,0,0
08.44.36.355003,1.44,0,0,0,0,0,0
08.44.36.388164,1.46,0,0,0,0,0,0
08.44.36.421508,1.48,0,0,0,0,0,0
08.44.36.455075,1.5,0,0,0,0,0,0
08.44.36.487911,1.52,0,0,0,0,0,0
08.44.36.520950,1.54,0,0,0,0,0,0
08.44.36.554094,1.56,0,0,0,0,0,0
08.44.36.587356,1.58,0,0,0,0,0,0
08.44.36.620458,1.6,0,0,0,0,0,0
08.44.36.653478,1.62,0,0,0,0,0,0
08.44.36.686463,1.64,0,0,0,0,0,0
08.44.36.719898,1.66,0,0,0,0,0,0
08.44.36.752961,1.68,0,0,0,0,0,0
08.44.36.785970,1.7,0,0,0,0,0,0
