System Time,Elapsed Time,Gravity X,Gravity Y, PathX, PathY, Path, Weight
08.06.47.570339,0,0,0,0,0,0,0
08.06.47.620274,5,0,0,0,0,0,0
08.06.47.669742,50,0,0,0,0,0,0
08.06.47.719298,99,0,0,0,0,0,0
08.06.47.768216,149,0,0,0,0,0,0
08.06.47.815656,198,0,0,0,0,0,0
08.06.47.852220,245,0,0,0,0,0,0
08.06.47.901555,282,0,0,0,0,0,0
08.06.47.951848,331,0,0,0,0,0,0
08.06.48.001075,381,0,0,0,0,0,0
08.06.48.050607,-569,0,0,0,0,0,0
08.06.48.100434,-520,0,0,0,0,0,0
08.06.48.149801,-470,0,0,0,0,0,0
08.06.48.199472,-421,0,0,0,0,0,0
08.06.48.249327,-371,0,0,0,0,0,0
08.06.48.299026,-321,0,0,0,0,0,0
08.06.48.332640,-271,0,0,0,0,0,0
08.06.48.382101,-238,0,0,0,0,0,0
08.06.48.431649,-188,0,0,0,0,0,0
08.06.48.481199,-139,0,0,0,0,0,0
08.06.48.530938,-89,0,0,0,0,0,0
08.06.48.580440,-40,0,0,0,0,0,0
08.06.48.630186,10,0,0,0,0,0,0
08.06.48.680367,60,0,0,0,0,0,0
08.06.48.730089,110,0,0,0,0,0,0
08.06.48.780145,160,0,0,0,0,0,0
08.06.48.829298,210,0,0,0,0,0,0
08.06.48.875978,259,0,0,0,0,0,0
08.06.48.926235,306,0,0,0,0,0,0
08.06.48.975635,356,0,0,0,0,0,0
08.06.49.025164,405,0,0,0,0,0,0
08.06.49.075001,-545,0,0,0,0,0,0
08.06.49.125041,-495,0,0,0,0,0,0
08.06.49.174640,-445,0,0,0,0,0,0
08.06.49.224081,-396,0,0,0,0,0,0
08.06.49.273699,-346,0,0,0,0,0,0
08.06.49.323856,-297,0,0,0,0,0,0
08.06.49.356727,-247,0,0,0,0,0,0
08.06.49.406762,-213,0,0,0,0,0,0
08.06.49.456239,-164,0,0,0,0,0,0
08.06.49.505886,-114,0,0,0,0,0,0
08.06.49.539444,-65,0,0,0,0,0,0
08.06.49.588731,-31,0,0,0,0,0,0
08.06.49.638664,19,0,0,0,0,0,0
08.06.49.687846,69,0,0,0,0,0,0
08.06.49.737672,117,0,0,0,0,0,0
08.06.49.787351,168,0,0,0,0,0,0
08.06.49.837470,217,0,0,0,0,0,0
08.06.49.887585,267,0,0,0,0,0,0
08.06.49.943892,317,0,0,0,0,0,0
08.06.49.972657,373,0,0,0,0,0,0
08.06.50.028033,402,0,0,0,0,0,0
08.06.50.057542,-542,0,0,0,0,0,0
08.06.50.107143,-513,0,0,0,0,0,0
08.06.50.162199,-463,0,0,0,0,0,0
