System Time,Elapsed Time,Gravity X,Gravity Y, PathX, PathY, Path, Weight
08.41.50.799756,0,0,0,0,0,0,0
08.41.50.815759,0.05,0,0,0,0,0,0
08.41.50.832805,0.1,0,0,0,0,0,0
08.41.50.849329,0.15,0,0,0,0,0,0
08.41.50.865882,0.2,0,0,0,0,0,0
08.41.50.882271,0.25,0,0,0,0,0,0
08.41.50.898725,0.3,0,0,0,0,0,0
08.41.50.915741,0.35,0,0,0,0,0,0
08.41.50.932258,0.4,0,0,0,0,0,0
08.41.50.948758,0.45,0,0,0,0,0,0
08.41.50.965219,0.5,0,0,0,0,0,0
08.41.50.981836,0.55,0,0,0,0,0,0
08.41.50.998473,0.6,0,0,0,0,0,0
08.41.51.021608,0.65,0,0,0,0,0,0
08.41.51.037689,0.7,0,0,0,0,0,0
08.41.51.050750,0.75,0,0,0,0,0,0
08.41.51.066781,0.8,0,0,0,0,0,0
08.41.51.083338,0.85,0,0,0,0,0,0
08.41.51.099908,0.9,0,0,0,0,0,0
08.41.51.116497,0.95,0,0,0,0,0,0
08.41.51.133120,1,0,0,0,0,0,0
08.41.51.149632,1.05,0,0,0,0,0,0
08.41.51.165795,1.1,0,0,0,0,0,0
08.41.51.182835,1.15,0,0,0,0,0,0
08.41.51.199021,1.2,0,0,0,0,0,0
08.41.51.215698,1.25,0,0,0,0,0,0
08.41.51.232737,1.3,0,0,0,0,0,0
08.41.51.248937,1.35,0,0,0,0,0,0
08.41.51.265514,1.4,0,0,0,0,0,0
08.41.51.282081,1.45,0,0,0,0,0,0
08.41.51.299153,1.5,0,0,0,0,0,0
08.41.51.321680,1.55,0,0,0,0,0,0
08.41.51.337678,1.6,0,0,0,0,0,0
08.41.51.348211,1.65,0,0,0,0,0,0
08.41.51.364742,1.7,0,0,0,0,0,0
08.41.51.379435,1.75,0,0,0,0,0,0
08.41.51.396060,1.8,0,0,0,0,0,0
08.41.51.412303,1.85,0,0,0,0,0,0
08.41.51.429168,1.9,0,0,0,0,0,0
08.41.51.445717,1.95,0,0,0,0,0,0
08.41.51.462185,2,0,0,0,0,0,0
08.41.51.479207,2.05,0,0,0,0,0,0
08.41.51.495847,2.1,0,0,0,0,0,0
08.41.51.511868,2.15,0,0,0,0,0,0
08.41.51.528433,2.2,0,0,0,0,0,0
08.41.51.544903,2.25,0,0,0,0,0,0
08.41.51.561967,2.3,0,0,0,0,0,0
08.41.51.578270,2.35,0,0,0,0,0,0
08.41.51.594879,2.4,0,0,0,0,0,0
08.41.51.610913,2.45,0,0,0,0,0,0
08.41.51.627426,2.5,0,0,0,0,0,0
08.41.51.644952,2.55,0,0,0,0,0,0
08.41.51.660949,2.6,0,0,0,0,0,0
08.41.51.677727,2.65,0,0,0,0,0,0
08.41.51.694256,2.7,0,0,0,0,0,0
08.41.51.710841,2.75,0,0,0,0,0,0
08.41.51.727364,2.8,0,0,0,0,0,0
08.41.51.743560,2.85,0,0,0,0,0,0
08.41.51.761099,2.9,0,0,0,0,0,0
08.41.51.777240,2.95,0,0,0,0,0,0
08.41.51.793728,3,0,0,0,0,0,0
08.41.51.810153,3.05,0,0,0,0,0,0
08.41.51.826705,3.1,0,0,0,0,0,0
08.41.51.843217,3.15,0,0,0,0,0,0
08.41.51.859762,3.2,0,0,0,0,0,0
08.41.51.876270,3.25,0,0,0,0,0,0
08.41.51.893225,3.3,0,0,0,0,0,0
08.41.51.909530,3.35,0,0,0,0,0,0
08.41.51.926458,3.4,0,0,0,0,0,0
08.41.51.943135,3.45,0,0,0,0,0,0
08.41.51.959652,3.5,0,0,0,0,0,0
08.41.51.975851,3.55,0,0,0,0,0,0
08.41.51.992692,3.6,0,0,0,0,0,0
08.41.52.008869,3.65,0,0,0,0,0,0
08.41.52.025411,3.69999999999999,0,0,0,0,0,0
08.41.52.042013,3.74999999999999,0,0,0,0,0,0
08.41.52.058522,3.79999999999999,0,0,0,0,0,0
08.41.52.075415,3.84999999999999,0,0,0,0,0,0
08.41.52.091643,3.89999999999999,0,0,0,0,0,0
08.41.52.108063,3.94999999999999,0,0,0,0,0,0
08.41.52.125050,3.99999999999999,0,0,0,0,0,0
08.41.52.141892,4.04999999999999,0,0,0,0,0,0
08.41.52.157998,4.09999999999999,0,0,0,0,0,0
08.41.52.174954,4.14999999999999,0,0,0,0,0,0
08.41.52.191095,4.19999999999999,0,0,0,0,0,0
08.41.52.208100,4.24999999999999,0,0,0,0,0,0
08.41.52.224151,4.29999999999999,0,0,0,0,0,0
08.41.52.240960,4.34999999999999,0,0,0,0,0,0
08.41.52.257461,4.39999999999999,0,0,0,0,0,0
08.41.52.273997,4.44999999999999,0,0,0,0,0,0
08.41.52.290630,4.49999999999999,0,0,0,0,0,0
08.41.52.307183,4.54999999999999,0,0,0,0,0,0
