System Time,Elapsed Time,Gravity X,Gravity Y, PathX, PathY, Path, Weight
08.21.13.048422,0,0,0,0,0,0,0
08.21.13.095715,27,0,0,0,0,0,0
08.21.13.145427,70,0,0,0,0,0,0
08.21.13.194888,120,0,0,0,0,0,0
08.21.13.244363,169,0,0,0,0,0,0
08.21.13.294887,219,0,0,0,0,0,0
08.21.13.344115,269,0,0,0,0,0,0
08.21.13.393697,319,0,0,0,0,0,0
08.21.13.443099,368,0,0,0,0,0,0
08.21.13.492983,418,0,0,0,0,0,0
08.21.13.542647,467,0,0,0,0,0,0
08.21.13.592681,517,0,0,0,0,0,0
08.21.13.642152,567,0,0,0,0,0,0
08.21.13.675433,617,0,0,0,0,0,0
08.21.13.724844,650,0,0,0,0,0,0
08.21.13.774574,699,0,0,0,0,0,0
08.21.13.824243,749,0,0,0,0,0,0
08.21.13.874294,799,0,0,0,0,0,0
08.21.13.923573,849,0,0,0,0,0,0
08.21.13.973334,898,0,0,0,0,0,0
08.21.14.023050,948,0,0,0,0,0,0
08.21.14.073133,997,0,0,0,0,0,0
08.21.14.122775,48,0,0,0,0,0,0
08.21.14.172473,97,0,0,0,0,0,0
08.21.14.222079,147,0,0,0,0,0,0
08.21.14.271931,197,0,0,0,0,0,0
08.21.14.321620,246,0,0,0,0,0,0
08.21.14.371101,296,0,0,0,0,0,0
08.21.14.420801,346,0,0,0,0,0,0
08.21.14.479106,395,0,0,0,0,0,0
08.21.14.507651,454,0,0,0,0,0,0
08.21.14.557809,482,0,0,0,0,0,0
08.21.14.607476,532,0,0,0,0,0,0
08.21.14.640780,582,0,0,0,0,0,0
08.21.14.689948,616,0,0,0,0,0,0
08.21.14.739901,664,0,0,0,0,0,0
08.21.14.789436,714,0,0,0,0,0,0
08.21.14.839286,764,0,0,0,0,0,0
08.21.14.889058,814,0,0,0,0,0,0
08.21.14.938586,863,0,0,0,0,0,0
08.21.14.988204,913,0,0,0,0,0,0
08.21.15.027680,963,0,0,0,0,0,0
08.21.15.056247,3,0,0,0,0,0,0
08.21.15.105656,31,0,0,0,0,0,0
08.21.15.160777,80,0,0,0,0,0,0
08.21.15.194028,136,0,0,0,0,0,0
08.21.15.244031,169,0,0,0,0,0,0
08.21.15.272261,218,0,0,0,0,0,0
08.21.15.321634,247,0,0,0,0,0,0
08.21.15.371390,296,0,0,0,0,0,0
08.21.15.421132,346,0,0,0,0,0,0
08.21.15.470814,396,0,0,0,0,0,0
08.21.15.520539,445,0,0,0,0,0,0
08.21.15.570165,495,0,0,0,0,0,0
08.21.15.619945,545,0,0,0,0,0,0
08.21.15.669651,594,0,0,0,0,0,0
08.21.15.719060,644,0,0,0,0,0,0
08.21.15.769127,694,0,0,0,0,0,0
08.21.15.818708,744,0,0,0,0,0,0
08.21.15.868711,793,0,0,0,0,0,0
08.21.15.918085,843,0,0,0,0,0,0
08.21.15.967891,893,0,0,0,0,0,0
08.21.16.017660,942,0,0,0,0,0,0
08.21.16.067235,992,0,0,0,0,0,0
08.21.16.122145,42,0,0,0,0,0,0
08.21.16.152665,97,0,0,0,0,0,0
08.21.16.200949,127,0,0,0,0,0,0
08.21.16.251638,175,0,0,0,0,0,0
08.21.16.301772,226,0,0,0,0,0,0
08.21.16.350345,276,0,0,0,0,0,0
08.21.16.399585,325,0,0,0,0,0,0
08.21.16.449641,375,0,0,0,0,0,0
08.21.16.499757,424,0,0,0,0,0,0
08.21.16.549142,474,0,0,0,0,0,0
08.21.16.582199,524,0,0,0,0,0,0
08.21.16.636595,557,0,0,0,0,0,0
08.21.16.671686,611,0,0,0,0,0,0
08.21.16.701771,646,0,0,0,0,0,0
