System Time,Elapsed Time,Gravity X,Gravity Y, PathX, PathY, Path, Weight
06.14.50.970557,0,0,0,0,0,0,0
06.14.50.987742,0.001,0,0,0,0,0,0
06.14.51.003475,0.002,0,0,0,0,0,0
06.14.51.020232,0.003,0,0,0,0,0,0
06.14.51.036605,0.004,0,0,0,0,0,0
06.14.51.053207,0.005,0,0,0,0,0,0
06.14.51.069877,0.006,0,0,0,0,0,0
06.14.51.086405,0.007,0,0,0,0,0,0
06.14.51.102783,0.008,0,0,0,0,0,0
06.14.51.119512,0.009,0,0,0,0,0,0
06.14.51.135921,0.01,0,0,0,0,0,0
06.14.51.152759,0.011,0,0,0,0,0,0
06.14.51.169409,0.012,0,0,0,0,0,0
06.14.51.185569,0.013,0,0,0,0,0,0
06.14.51.202573,0.014,0,0,0,0,0,0
06.14.51.218726,0.015,0,0,0,0,0,0
06.14.51.235941,0.016,0,0,0,0,0,0
06.14.51.252179,0.017,0,0,0,0,0,0
06.14.51.268784,0.018,0,0,0,0,0,0
06.14.51.293151,0.019,0,0,0,0,0,0
06.14.51.308161,0.02,0,0,0,0,0,0
06.14.51.320679,0.021,0,0,0,0,0,0
06.14.51.336984,0.022,0,0,0,0,0,0
06.14.51.353373,0.023,0,0,0,0,0,0
06.14.51.370577,0.024,0,0,0,0,0,0
06.14.51.386617,0.025,0,0,0,0,0,0
06.14.51.403243,0.026,0,0,0,0,0,0
06.14.51.419745,0.027,0,0,0,0,0,0
06.14.51.436284,0.028,0,0,0,0,0,0
06.14.51.452931,0.029,0,0,0,0,0,0
06.14.51.469513,0.03,0,0,0,0,0,0
06.14.51.485873,0.031,0,0,0,0,0,0
06.14.51.502671,0.032,0,0,0,0,0,0
06.14.51.518964,0.033,0,0,0,0,0,0
06.14.51.535704,0.034,0,0,0,0,0,0
06.14.51.552075,0.035,0,0,0,0,0,0
06.14.51.568687,0.036,0,0,0,0,0,0
06.14.51.585305,0.037,0,0,0,0,0,0
06.14.51.602081,0.038,0,0,0,0,0,0
06.14.51.618761,0.039,0,0,0,0,0,0
06.14.51.635140,0.04,0,0,0,0,0,0
06.14.51.651601,0.041,0,0,0,0,0,0
06.14.51.668155,0.042,0,0,0,0,0,0
06.14.51.684690,0.043,0,0,0,0,0,0
06.14.51.711562,0.044,0,0,0,0,0,0
06.14.51.719068,0.045,0,0,0,0,0,0
06.14.51.735842,0.046,0,0,0,0,0,0
06.14.51.752157,0.047,0,0,0,0,0,0
06.14.51.768786,0.048,0,0,0,0,0,0
06.14.51.785316,0.049,0,0,0,0,0,0
06.14.51.801827,0.05,0,0,0,0,0,0
06.14.51.818511,0.051,0,0,0,0,0,0
06.14.51.835767,0.052,0,0,0,0,0,0
06.14.51.851596,0.053,0,0,0,0,0,0
06.14.51.868187,0.054,0,0,0,0,0,0
06.14.51.884624,0.055,0,0,0,0,0,0
06.14.51.901431,0.056,0,0,0,0,0,0
06.14.51.918062,0.057,0,0,0,0,0,0
06.14.51.934817,0.058,0,0,0,0,0,0
06.14.51.951137,0.059,0,0,0,0,0,0
06.14.51.967571,0.06,0,0,0,0,0,0
06.14.51.984183,0.061,0,0,0,0,0,0
06.14.52.000624,0.062,0,0,0,0,0,0
06.14.52.017331,0.063,0,0,0,0,0,0
06.14.52.033767,0.064,0,0,0,0,0,0
06.14.52.050216,0.065,0,0,0,0,0,0
06.14.52.066760,0.066,0,0,0,0,0,0
06.14.52.083376,0.067,0,0,0,0,0,0
06.14.52.100019,0.068,0,0,0,0,0,0
06.14.52.116848,0.069,0,0,0,0,0,0
06.14.52.133348,0.07,0,0,0,0,0,0
06.14.52.150308,0.071,0,0,0,0,0,0
06.14.52.166342,0.0720000000000001,0,0,0,0,0,0
06.14.52.183274,0.0730000000000001,0,0,0,0,0,0
06.14.52.199384,0.0740000000000001,0,0,0,0,0,0
06.14.52.216121,0.0750000000000001,0,0,0,0,0,0
06.14.52.232854,0.0760000000000001,0,0,0,0,0,0
06.14.52.249651,0.0770000000000001,0,0,0,0,0,0
06.14.52.265682,0.0780000000000001,0,0,0,0,0,0
06.14.52.282546,0.0790000000000001,0,0,0,0,0,0
06.14.52.299266,0.0800000000000001,0,0,0,0,0,0
06.14.52.315399,0.0810000000000001,0,0,0,0,0,0
06.14.52.331949,0.0820000000000001,0,0,0,0,0,0
06.14.52.348706,0.0830000000000001,0,0,0,0,0,0
06.14.52.365130,0.0840000000000001,0,0,0,0,0,0
06.14.52.381728,0.0850000000000001,0,0,0,0,0,0
06.14.52.398487,0.0860000000000001,0,0,0,0,0,0
06.14.52.415119,0.0870000000000001,0,0,0,0,0,0
06.14.52.431744,0.0880000000000001,0,0,0,0,0,0
06.14.52.447862,0.0890000000000001,0,0,0,0,0,0
06.14.52.465202,0.0900000000000001,0,0,0,0,0,0
06.14.52.481253,0.0910000000000001,0,0,0,0,0,0
06.14.52.498042,0.0920000000000001,0,0,0,0,0,0
06.14.52.514117,0.0930000000000001,0,0,0,0,0,0
06.14.52.530829,0.0940000000000001,0,0,0,0,0,0
06.14.52.547525,0.0950000000000001,0,0,0,0,0,0
06.14.52.563938,0.0960000000000001,0,0,0,0,0,0
